"hscode"	"Duty"	"import_euro_kg"	"anti-dumping"	"description_hscode"	"description_en_chinois"	"date_search"	"lien"
"7019110000"	" 7 %          "	"1.43"	"anti-dumping"	"Section XIII - (Chapters 68...70) - Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware / GLASS AND GLASSWARE / Glass fibres (including glass wool) and articles thereof (for example, yarn, rovings, woven fabrics) / - Slivers, rovings, yarn and chopped strands and mats thereof / - - Chopped strands, of a length of not more than 50 mm / "	"第十三节-（第68…70章）-石头、灰泥、水泥、石棉、云母或类似材料制品；陶瓷制品；玻璃和玻璃器皿/玻璃和玻璃器皿/玻璃纤维（包括玻璃棉）及其制品（例如纱线、粗纱、机织物）/-长条、粗纱、纱线和短切原丝及其毡/-短切原丝，长度不超过50 mm/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7019110000&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"7326909890"	" 2,7 %          "	"3.5"		"Section XV - (Chapters 72...83) - Base metals and articles of base metal / ARTICLES OF IRON OR STEEL / Other articles of iron or steel / - Other / - - Other articles of iron or steel / - - - Other / - - - - Other / "	"第十五节-（第72…83章）-贱金属和贱金属制品/钢铁制品/其他钢铁制品/-其他/-其他钢铁制品/-其他/-其他/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7326909890&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"7318155810"	" 3,7 %          "	"1.57"	"anti-dumping"	"Section XV - (Chapters 72...83) - Base metals and articles of base metal / ARTICLES OF IRON OR STEEL / Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel / - Threaded articles / - - Other screws and bolts, whether or not with their nuts or washers / - - - Other / - - - - With heads / - - - - - Slotted or cross-recessed heads / - - - - - - Other / - - - - - - - Self-locking bolts and nuts (of the type ""Hi-Lok"") / "	"第十五节-（第72…83章）-贱金属和贱金属制品/钢铁制品/螺钉、螺栓、螺母、大客车螺钉、螺丝钩、铆钉、开口销、开口销、垫圈（包括弹簧垫圈）和类似的钢铁制品/-螺纹制品/-其他螺钉和螺栓，无论是否带螺母或垫圈/-其他/-带头/-开槽或十字槽头/-其他/-自锁螺栓和螺母（Hi-Lok型）/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7318155810&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"7318155860"	" 3,7 %          "	"1.57"	"anti-dumping"	"Section XV - (Chapters 72...83) - Base metals and articles of base metal / ARTICLES OF IRON OR STEEL / Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel / - Threaded articles / - - Other screws and bolts, whether or not with their nuts or washers / - - - Other / - - - - With heads / - - - - - Slotted or cross-recessed heads / - - - - - - Other / - - - - - - - Other / - - - - - - - - For use in certain types of aircraft / "	"第十五节-（第72…83章）-贱金属和贱金属制品/钢铁制品/螺钉、螺栓、螺母、大客车螺钉、螺丝钩、铆钉、开口销、开口销、垫圈（包括弹簧垫圈）和类似的钢铁制品/-螺纹制品/-其他螺钉和螺栓，无论是否带螺母或垫圈/-其他/-带机头/-开槽或十字槽机头/-其他/-其他/--用于某些类型的飞机/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7318155860&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"7318155890"	" 3,7 %          "	"1.57"	"anti-dumping"	"Section XV - (Chapters 72...83) - Base metals and articles of base metal / ARTICLES OF IRON OR STEEL / Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel / - Threaded articles / - - Other screws and bolts, whether or not with their nuts or washers / - - - Other / - - - - With heads / - - - - - Slotted or cross-recessed heads / - - - - - - Other / - - - - - - - Other / - - - - - - - - Other / "	"第十五节-（第72…83章）-贱金属和贱金属制品/钢铁制品/螺钉、螺栓、螺母、大客车螺钉、螺丝钩、铆钉、开口销、开口销、垫圈（包括弹簧垫圈）和类似的钢铁制品/-螺纹制品/-其他螺钉和螺栓，无论是否带螺母或垫圈/-其他/-带头/-开槽或十字槽头/-其他/-其他/-其他/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=7318155890&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"9019101000"	" 0 %          "	"11.81"		"Section XVIII - (Chapters 90...92) - Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof / OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF / Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus / - Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus / - - Electrical vibratory-massage apparatus / "	"第十八节-（第90…92章）-光学、摄影、电影、测量、检查、精密度、医疗或外科仪器和器械；钟表；乐器；其零件和附件/光学、摄影、电影、测量、检查、精密、医疗或外科仪器和器械；其零件和附件/机械治疗器具；按摩器械；心理能力倾向测试仪；臭氧疗法、氧气疗法、气溶胶疗法、人工呼吸或其他治疗性呼吸装置/机械疗法器具；按摩器械；心理能力测试仪/——电振动按摩仪/"	"20220623"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=9019101000&country=29422&trade=0&cssfile=tarbro&date=20220623&lang=EN&page=1"
"3923509000"	" 6,5 %          "	"10.47"		"Section VII - (Chapters 39 & 40) - Plastics and articles thereof; rubber and articles thereof / PLASTICS AND ARTICLES THEREOF / I. PRIMARY FORMS / II. WASTE, PARINGS AND SCRAP; SEMI-MANUFACTURES; ARTICLES / Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics / - Stoppers, lids, caps and other closures / - - Other / "	"第七节-（第39章和第40章）-塑料及其制品；橡胶及其制品/塑料及其制品/I.主要形式/II。废料、削片和废料；半成品；塑料制品/用于运输或包装货物的物品；塑料制塞子、盖、盖和其他封口/-塞子、盖、盖和其他封口/-其他/"	"20220624"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=3923509000&country=29422&trade=0&cssfile=tarbro&date=20220624&lang=EN&page=1"
"3923509000"	" 6,5 %          "	"10.47"		"Section VII - (Chapters 39 & 40) - Plastics and articles thereof; rubber and articles thereof / PLASTICS AND ARTICLES THEREOF / I. PRIMARY FORMS / II. WASTE, PARINGS AND SCRAP; SEMI-MANUFACTURES; ARTICLES / Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics / - Stoppers, lids, caps and other closures / - - Other / "	"第七节-（第39章和第40章）-塑料及其制品；橡胶及其制品/塑料及其制品/I.主要形式/II。废料、削片和废料；半成品；塑料制品/用于运输或包装货物的物品；塑料制塞子、盖、盖和其他封口/-塞子、盖、盖和其他封口/-其他/"	"20220630"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=3923509000&country=29422&trade=0&cssfile=tarbro&date=20220624&lang=EN&page=1"
"3923509000"	" 6,5 %          "	"10.47"		"Section VII - (Chapters 39 & 40) - Plastics and articles thereof; rubber and articles thereof / PLASTICS AND ARTICLES THEREOF / I. PRIMARY FORMS / II. WASTE, PARINGS AND SCRAP; SEMI-MANUFACTURES; ARTICLES / Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics / - Stoppers, lids, caps and other closures / - - Other / "	"第七节-（第39章和第40章）-塑料及其制品；橡胶及其制品/塑料及其制品/I.主要形式/II。废料、削片和废料；半成品；塑料制品/用于运输或包装货物的物品；塑料制塞子、盖、盖和其他封口/-塞子、盖、盖和其他封口/-其他/"	"20220624"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=3923509000&country=29422&trade=0&cssfile=tarbro&date=20220630&lang=EN&page=1"
"3923509000"	" 6,5 %          "	"10.47"		"Section VII - (Chapters 39 & 40) - Plastics and articles thereof; rubber and articles thereof / PLASTICS AND ARTICLES THEREOF / I. PRIMARY FORMS / II. WASTE, PARINGS AND SCRAP; SEMI-MANUFACTURES; ARTICLES / Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics / - Stoppers, lids, caps and other closures / - - Other / "	"第七节-（第39章和第40章）-塑料及其制品；橡胶及其制品/塑料及其制品/I.主要形式/II。废料、削片和废料；半成品；塑料制品/用于运输或包装货物的物品；塑料制塞子、盖、盖和其他封口/-塞子、盖、盖和其他封口/-其他/"	"20220630"	"https://eservices.minfin.fgov.be/extTariffBrowser/Measure?cnCode=3923509000&country=29422&trade=0&cssfile=tarbro&date=20220630&lang=EN&page=1"
